"@title,""Spanish""";
"#00316,""Pamfletos""";
"#00317,""TV CM""";
"#00318,""Pelicula patrocinada""";
"#00319,""Billboards""";
"#00320,""Insuficiente""";
"#00321,""Sin dinero...""";
"#00322,""Tan empinada...""";
"#00323,""Buena elección""";
"#00324,""¡Muy lleno!""";
"#00325,""Sin efecto...""";
"#00326,""¡Exito!""";
"#00327,""¡Gran Exito!""";
"#00328,""Demasiado...""";
"#00329,""Me rindo...""";
"#00330,""¡Salpicada!""";
"#00331,""Eso fue divertido!""";
"#00332,""¡Whoosh!""";
"#00333,""¡Yei!""";
"#00334,""Aquí voy...""";
"#00335,""¡Bueno para ir!""";
"#00336,""¡Toma eso!""";
"#00337,""¡Eso se siente bien!""";
"#00338,""¡Mira esto!""";
"#00339,""¡Todo correcto!""";
"#00340,""¡Bien!""";
"#00341,""¡Jumm!""";
"#00342,""Es muy frio""";
"#00343,""Se está tardando""";
"#00344,""Aún no""";
"#00345,""Aún sigo bien""";
"#00346,""¡Genial!""";
"#00347,""¡Wow!""";
"#00348,""Es muy oscuro...""";
"#00349,""Hoy es un buen clima""";
"#00350,""Hace mucho viento...""";
"#00351,""Me siento tan tenso""";
"#00352,""Muy pronto… Muy pronto…""";
"#00353,""Es muy alto!""";
"#00354,""Retumbar retumbar""";
"#00355,""¡Yei, nieve!""";
"#00356,""¡No puedo esperar!""";
"#00357,""¡Esto es todo!""";
"#00358,""¡Whoa!""";
"#00359,""¡Bwah!""";
"#00360,""¡Lo siento!""";
"#00361,""¡Splat!""";
"#00362,""¡Hora de hacer esto!""";
"#00363,""¡Bien!""";
"#00364,""¡Solo bien!""";
"#00365,""¡Limpio!""";
"#00366,""¡Hmm!""";
"#00367,""¡Divertido!""";
"#00368,""Estoy vencido""";
"#00369,""Uhm...""";
"#00370,""¡Hora de descansar!""";
"#00371,""Necesito descansar""";
"#00372,""¡Un salto!""";
"#00373,""¡Woohoo!""";
"#00374,""¡Es hora de irse!""";
"#00375,""¡Vaamos!""";
"#00376,""¡Salta!""";
"#00377,""Hmph...""";
"#00378,""Que hacer...""";
"#00379,""Tomaré eso""";
"#00380,""Lo comprare""";
"#00381,""Lo sé""";
"#00382,""Bonito y calido""";
"#00383,""¡Sabroso!""";
"#00384,""Relajandome""";
"#00385,""¡Caliente!""";
"#00386,""¡Oye!""";
"#00387,""Me gusta la naturaleza""";
"#00388,""Muy refrescante""";
"#00389,""Ahh...Bien""";
"#00390,""Una bella vista""";
"#00391,""Ahhh...""";
"#00392,""Hora de relajarse""";
"#00393,""Hmmm""";
"#00394,""Tiene sentido""";
"#00395,""Gulp gulp""";
"#00396,""¡Estoy sediento!""";
"#00397,""¡Por favor!""";
"#00398,""Uh...""";
"#00399,""Hecho""";
"#00400,""¡No hay entrada!""";
"#00401,""Una boletería?""";
"#00402,""Munch munch""";
"#00403,""Chomp chomp""";
"#00404,""Slurp slurp""";
"#00405,""Nom nom nom""";
"#00406,""¡Sabroso!""";
"#00407,""¡Delicioso!""";
"#00408,""¡Directo del horno!""";
"#00409,""¡Estoy tan lleno!""";
"#00410,""Necesito un palillo""";
"#00411,""Me gusta la salsa""";
"#00412,""Bien sazonada""";
"#00413,""Necesito una servilleta""";
"#00414,""Yummies""";
"#00415,""¡Es muy dulce!""";
"#00416,""¡Yum, banana!""";
"#00417,""¡Paraíso chocolatoso!""";
"#00418,""¡Amo los vegetales!""";
"#00419,""Increible sabor""";
"#00420,""Lo usúal, por favot""";
"#00421,""Buen caldo""";
"#00422,""Rico Sabor""";
"#00423,""Muy buen sabor""";
"#00424,""¡Mi favorito!""";
"#00425,""Bien condimentado""";
"#00426,""Quizás algunos lados...""";
"#00427,""Eso me calentó""";
"#00428,""Mmm ¡curry!""";
"#00429,""¡ahora ESO ES cola!""";
"#00430,""¡Esto está en su punto!""";
"#00431,""Necesito esto""";
"#00432,""Agradable sentarse...""";
"#00433,""Esto se siente bien.""";
"#00434,""¡Me siento muy saludable!""";
"#00435,""¡brillante!""";
"#00436,""¡Excelente!""";
"#00437,""¡Terrorifico!""";
"#00438,""Muy apretado...""";
"#00439,""¡Hola!""";
"#00440,""¿Cuanto tiempo mas?""";
"#00441,""Hora de irse""";
"#00442,""¡Beep!""";
"#00443,""¡Quiero esquiar!""";
"#00444,""¡Hora del esquí!""";
"#00445,""¡Una vez mas!""";
"#00446,""=#00333""";
"#00447,""¡Muy calido!""";
"#00448,""Eso se sintió bien""";
"#00449,""¡Vamos!""";
"#00450,""Bullicio""";
"#00451,""¡Bien, hora de irse!""";
"#00452,""¡Vamos!""";
"#00453,""¡Puedes hacerlo!""";
"#00454,""¡Muy bien!""";
"#00455,""¡Congelado!""";
"#00456,""¡Buen material!""";
"#00457,""¡Increible!""";
"#00458,""¡Glorioso!""";
"#00459,""¡Pulgares arriba!""";
"#00460,""¡Castañoso!""";
"#00461,""¡Dulcelisioso!""";
"#00462,""Estoy muy cansado""";
"#00463,""Mi pié está lastimado""";
"#00464,""¡Hoy lo hice bien!""";
"#00465,""Solo un descanso corto""";
"#00466,""Estoy muy sudado""";
"#00467,""Estoy hambriento""";
"#00468,""¡Comida!""";
"#00469,""Que hay de comer...""";
"#00470,""¡Amargo!""";
"#00471,""¡Jugoso!""";
"#00472,""¡El trato real!""";
"#00473,""Esto es... Único""";
"#00474,""¡Crocante!""";
"#00475,""¡Se derrite en tu boca!""";
"#00476,""Hmm...""";
"#00477,""¡Vigorizante!""";
"#00478,""Wow, Sabores complejos""";
"#00479,""Buenos ingredientes""";
"#00480,""¡Lo amo!""";
"#00481,""Esto está bien""";
"#00482,""=#00357""";
"#00483,""Phew!""";
"#00484,""¿Qué es esto?""";
"#00485,""No tan pesado""";
"#00486,""Un sabor delicado""";
"#00487,""¿Falta algo?""";
"#00488,""¡Calido!""";
"#00489,""=#00373""";
"#00490,""Hmmm...""";
"#00491,""¿Champiñones?""";
"#00492,""¿Vegetales silvestres?""";
"#00493,""¿Champiñón miedoso?""";
"#00494,""Agotado""";
"#00495,""Regresaremos pronto""";
"#00496,""¡HP Restaurado!""";
"#00497,""Tomando un descanso""";
"#00498,""¡Yendo a escalar!""";
"#00499,""Nuevo producto""";
"#00500,""¡Retate a ti mismo!""";
"#00501,""Hyah!""";
"#00502,""¡Whoa, Complicado!""";
"#00503,""¡La la la!""";
"#00504,""Saltandolo""";
"#00505,""¡Ahí voy!""";
"#00506,""¡Veloz que el viento!""";
"#00507,""¡Oh si, nena!""";
"#00508,""Trata de vencerme""";
"#00509,""¡Maxímo poder!""";
"#00510,""Briza a travéz""";
"#00511,""¡Todo bien!""";
"#00512,""¡Relajante!""";
"#00513,""¡Si!""";
"#00514,""¡Ahora!""";
"#00515,""¡Está yendo bien!""";
"#00516,""¡Hora de volar!""";
"#00517,""OK… ¡Y posa!""";
"#00518,""¡Hora de la foto!""";
"#00519,""Ja ja jaa""";
"#00520,""Luce muy bien""";
"#00521,""Se siente bien""";
"#00522,""Modo Rapido""";
"#00523,""(Configuración)""";
"#00524,""Ajustar la velocidad del juego de varias<br>acciones desde el menú de configuración.""";
"#00525,""highspeed_on_case0""";
"#00526,""Set de Estatua de Kariobot""";
"#00527,""(Decoración)""";
"#00528,""Desbloquea extraordinarias estatuas<br>hechas por un escultor famoso.""";
"#00529,""chip_0_case0""";
"#00530,""Kairobot Statues 2""";
"#00531,""(Hotel Facility)""";
"#00532,""chip_1_case0""";
"#00533,""Dancing Kairobot""";
"#00534,""No one does the robot dance<br>better than an actual robot.""";
"#00535,""chip_2_case0""";
"#00536,""Dancing Wairobot""";
"#00537,""chip_3_case0""";
"#00538,""Dancing Sally Prin""";
"#00539,""chip_4_case0""";
"#00540,""Bearington Outfit""";
"#00541,""(Outfit)""";
"#00542,""Have your assistant<br>dress up as Bearington.""";
"#00543,""cloth_0_case0""";
"#00544,""Penguin Suit""";
"#00545,""Have your assistant<br>dress up as penguin.""";
"#00546,""cloth_1_case0""";
"#00547,""Meat Bun Outfit""";
"#00548,""Have your assistant<br>dress up as a meat bun.""";
"#00549,""cloth_2_case0""";
"#00550,""Santa Costume""";
"#00551,""Have your assistant<br>dress up as Santa.""";
"#00552,""cloth_3_case0""";
"#00553,""Childhood Memories""";
"#00554,""The assistant claims it makes<br>her look like a tween.""";
"#00555,""cloth_4_case0""";
"#00556,""<co=00b050>Env. ✓""";
"#00557,""<co=0070c0>Compat. ✓""";
"#00558,""Food ✓""";
"#00559,""<co=7030a0>Compat. --""";
"#00560,""<co=c00000>Compat. ✗""";
"#00561,""<co=c00000>Incompat.""";
"#00562,""<co=c00000>Noisy""";
"#00563,""<co=c00000>Too Hot""";
"#00564,""<co=c00000>Windy""";
"#00565,""Front Desk Staff""";
"#00566,""Receptionist""";
"#00567,""Rental Shop""";
"#00568,""Tune-Up Staff""";
"#00569,""Shop Clerk""";
"#00570,""Staff""";
"#00571,""Instructor""";
"#00572,""Unmanned""";
"#00573,""Name""";
"#00574,""<co=0070c0>Section Break""";
"#00575,""Clever Girl""";
"#00576,""She seems to know a lot of things.""";
"#00577,""Sportsman""";
"#00578,""Check out his abs.""";
"#00579,""Office Clerk""";
"#00580,""On a much-needed vacation.""";
"#00581,""Local Skier""";
"#00582,""Skis all day long.""";
"#00583,""Businessman""";
"#00584,""He doesn't get much exercise.""";
"#00585,""Engineer""";
"#00586,""Likes skiing and tinkering.""";
"#00587,""Lively Kid""";
"#00588,""Likes playing outside.""";
"#00589,""Profesor""";
"#00590,""Taking a break from stuffy academia.""";
"#00591,""College Student""";
"#00592,""The ski-loving sporty type.""";
"#00593,""Travel Agent""";
"#00594,""Travel agents like to travel too.""";
"#00595,""Romantic Girl""";
"#00596,""Likes fairy tales. Cold doesn't bother her…""";
"#00597,""Rookie Teacher""";
"#00598,""A young teacher who likes sweets.""";
"#00599,""Hyperactive Kid""";
"#00600,""Can't sit still.""";
"#00601,""Cute Student""";
"#00602,""Lives a sheltered life.""";
"#00603,""Exchange Student""";
"#00604,""Fully bilingual""";
"#00605,""Preppy Schoolkid""";
"#00606,""Always wears the school uniform.""";
"#00607,""Skiing Student""";
"#00608,""Ah, the alliteration.""";
"#00609,""Local Schoolkid""";
"#00610,""In a long-distance relationship.""";
"#00611,""Hotel Owner""";
"#00612,""She's come to check out the hot springs.""";
"#00613,""Beautician""";
"#00614,""She's turned her hobby into a living.""";
"#00615,""Sassy Mom""";
"#00616,""Embarrasses her kids all the time.""";
"#00617,""Bed Maker""";
"#00618,""Lies on snow and grass for research.""";
"#00619,""Boxer""";
"#00620,""Left hook! Straight right!""";
"#00621,""Outdoorsy Boy""";
"#00622,""Spends every day outside.""";
"#00623,""Outdoorsy Girl""";
"#00624,""Loves hiking in the mountains.""";
"#00625,""Great Carpenter""";
"#00626,""Years of experience. Likes hot springs.""";
"#00627,""Maid on Vacation""";
"#00628,""She likes to keep the cute headband on.""";
"#00629,""Hip Guest""";
"#00630,""Doesn't like prying questions.""";
"#00631,""Calligrapher""";
"#00632,""Includes ski terminology in his work.""";
"#00633,""Ski Shop Clerk""";
"#00634,""Knows all about skis and skiing.""";
"#00635,""Laid-Back Student""";
"#00636,""Free-spirited, loves cycling.""";
"#00637,""Musician""";
"#00638,""Can't stop humming songs.""";
"#00639,""Buzz-Cut Kid""";
"#00640,""Really needs a warm hat in winter.""";
"#00641,""Smart Suit Guy""";
"#00642,""Has an identity crisis when not in a suit.""";
"#00643,""Girl in Braids""";
"#00644,""Tame hairstyle, wild character.""";
"#00645,""Tomboy""";
"#00646,""Charismatic and full of mischief.""";
"#00647,""Urchin""";
"#00648,""Cocky little troublemaker.""";
"#00649,""Sporty Clerk""";
"#00650,""A specialist in children's skis.""";
"#00651,""Ninja Celeb""";
"#00652,""Disguised as a schoolkid.""";
"#00653,""Magazine Editor""";
"#00654,""Writes about winter sports.""";
"#00655,""Short Schoolkid""";
"#00656,""Drinks milk, hoping to grow taller.""";
"#00657,""Bookish Boy""";
"#00658,""Wiser than you'd expect from a kid.""";
"#00659,""Hair Stylist""";
"#00660,""Always rocks an amazing hairstyle""";
"#00661,""Dairy Farmer""";
"#00662,""Milks it for all it's worth.""";
"#00663,""Mountain Rescue""";
"#00664,""Strong and reliable.""";
"#00665,""Village Girl""";
"#00666,""She's lived in a nearby village all her life.""";
"#00667,""Blacksmith""";
"#00668,""There's stars in his eyes.""";
"#00669,""Shrine Maiden""";
"#00670,""A part-timer with a serious work ethic.""";
"#00671,""Young Artisan""";
"#00672,""Still building reputation.""";
"#00673,""Snowman Fan""";
"#00674,""Member of Snowman Protection Club.""";
"#00675,""Snowman""";
"#00676,""Somehow doesn't melt.""";
"#00677,""Pro Skier""";
"#00678,""Skis for a living. Loves to compete.""";
"#00679,""Fashionista""";
"#00680,""Even her skiing outfit looks classy.""";
"#00681,""Apparel Designer""";
"#00682,""Goes skiing for inspiration.""";
"#00683,""Dressmaker""";
"#00684,""Likes stylish but cutesy clothes.""";
"#00685,""Swimming Champ""";
"#00686,""Thinks skiing is a lot like swimming.""";
"#00687,""Famous Fisherman""";
"#00688,""Fishing for compliments about his skiing.""";
"#00689,""Village Granny""";
"#00690,""She can still ski with the best of them.""";
"#00691,""School Principal""";
"#00692,""Principally interested in skiing.""";
"#00693,""Milkshake Maker""";
"#00694,""Discourages skiing when too full.""";
"#00695,""Busybody""";
"#00696,""Always meddling and gossiping.""";
"#00697,""Little Boy""";
"#00698,""A bundle of energy.""";
"#00699,""Agriculturalist""";
"#00700,""Dropped by while visiting nearby farms.""";
"#00701,""Composer""";
"#00702,""Listens to the mountain's sweet song.""";
"#00703,""Santa Girl""";
"#00704,""She likes well-behaved children.""";
"#00705,""Reindeer""";
"#00706,""All ready for Christmas.""";
"#00707,""Rookie Skier""";
"#00708,""Incredible at sledding.""";
"#00709,""Precocious Girl""";
"#00710,""She acts like an adult.""";
"#00711,""Snooty Tourist""";
"#00712,""Behaves like a bourgeois.""";
"#00713,""Archaeologist""";
"#00714,""Is researching ski culture.""";
"#00715,""Antiquarian""";
